date,name,code,title,rating,target_price,institution,url,2025-盈利预测-收益,2025-盈利预测-市盈率,2026-盈利预测-收益,2026-盈利预测-市盈率,2027-盈利预测-收益,2027-盈利预测-市盈率
2026-04-19,贵州茅台,600519,2025年释放经营压力，2026年改革破局,增持,,国信证券,,,,67.6,21.6,72.15,20.3
2026-04-17,贵州茅台,600519,超预期出清，市场化改革持续推进,买入,,国金证券,,,,68.517,21.3,72.183,20.3
2026-04-17,贵州茅台,600519,面对承压，坚定改革,买入,,信达证券,,,,69.33,21.1,72.45,20.19
2026-04-09,贵州茅台,600519,推进价格市场化改革，助力2026年稳增长,买入,,中邮证券,,70.93,20.3,74.5,19.33,80.03,17.99
2026-04-07,贵州茅台,600519,公司信息更新报告：提振行业信心，增强业绩保障,买入,,开源证券,,73.02,19.9,77.75,18.6,82.18,17.6
2026-04-02,贵州茅台,600519,淡季提价，渠道结构持续调整，市场化导向明确,买入,,中银证券,,72.31,20.2,75.8,19.3,80.93,18.0
2026-04-01,贵州茅台,600519,首次覆盖报告：推进市场化改革，龙头持续变革转型,买入,,爱建证券,,73.79,19.65,77.05,18.82,81.01,17.9
2026-04-01,贵州茅台,600519,提价点评：价格市场化改革再尝试，提价进一步增厚业绩,买入,,东兴证券,,71.99,19.73,74.65,19.02,77.91,18.23
2026-03-31,贵州茅台,600519,市场化改革下的价格体系重构,买入,,信达证券,,72.26,20.07,75.52,19.2,78.71,18.42
2026-03-31,贵州茅台,600519,飞天茅台调价，市场化改革持续推进,买入,,国金证券,,71.067,20.0,73.886,19.2,77.489,18.3
2026-03-23,贵州茅台,600519,市场化转型专题：量价归位与渠道重构,买入,,国金证券,,71.067,20.3,73.886,19.6,77.489,18.6
2026-03-19,贵州茅台,600519,革故鼎新，与时偕行，再论茅台的护城河与增长潜力,增持,,国信证券,,71.28,20.5,71.26,20.5,72.78,20.1
2026-03-17,贵州茅台,600519,步入2C新时代，降维竞争持续成长,买入,,东吴证券,,71.96,20.29,71.98,20.29,75.05,19.46
2026-03-03,贵州茅台,600519,营销改革复盘专题：笃行不怠，臻于至善,买入,,东吴证券,,71.96,20.01,71.98,20.01,75.05,19.19
2026-03-02,贵州茅台,600519,经营拐点已至，白酒消费新常态强者恒强,买入,,华源证券,,72.55,20.06,77.85,18.69,84.02,17.32
2026-01-15,贵州茅台,600519,市场化运营方案披露，产品渠道运营全方位改革,买入,,中邮证券,,72.36,19.32,74.47,18.77,79.32,17.63
2026-01-05,贵州茅台,600519,全面推进市场化转型，解决供需适配问题,增持,,国信证券,,72.01,19.1,72.04,19.1,73.07,18.8
2025-12-31,贵州茅台,600519,2026加速营销转型，多元渠道构建更进一步,买入,,东吴证券,,71.99,19.3,72.7,19.12,74.17,18.74
2025-12-14,贵州茅台,600519,量价调控思路清晰，长期韧性值得信赖,买入,,东吴证券,,71.99,19.73,72.7,19.54,74.17,19.15
2025-12-09,贵州茅台,600519,股东大会强调高质量发展，聚焦渠道稳定性，稳步推进改革,买入,,中银证券,,72.31,19.6,75.8,18.7,80.93,17.5
2025-11-06,贵州茅台,600519,事件点评：多措并举，彰显龙头担当,买入,,东莞证券,,72.41,19.61,76.74,18.51,81.94,17.33
2025-11-05,贵州茅台,600519,收入保持韧性，底部价值凸显,买入,,东兴证券,,71.68,19.94,75.32,18.97,79.61,17.95
2025-11-05,贵州茅台,600519,公司事件点评报告：释放渠道压力，主动降速保障良性经营,买入,,华鑫证券,,72.46,19.7,77.08,18.5,82.35,17.4
2025-11-05,贵州茅台,600519,营收利润基本符合预期，静待需求改善,买入,,中邮证券,,72.36,19.83,76.53,18.75,82.0,17.5
2025-11-05,贵州茅台,600519,经销贡献收入，期待需求逐步改善,买入,,山西证券,,72.24,19.8,77.71,18.4,84.01,17.0
2025-11-04,贵州茅台,600519,2025年三季报点评：外部需求疲软，Q3收入环比降速,买入,,西南证券,,72.33,19.77,78.4,18.24,84.78,16.87
2025-11-03,贵州茅台,600519,公司信息更新报告：三季度收入放缓，蓄力健康长远,买入,,开源证券,,73.02,19.6,77.75,18.4,82.18,17.4
2025-11-02,贵州茅台,600519,贵州茅台25Q3点评：顺应市场，行稳致远,买入,,华安证券,,72.13,19.82,75.71,18.89,80.84,17.69
2025-11-02,贵州茅台,600519,贵州茅台：Q3主动降速，奠定健康发展基石,增持,,太平洋,,72.89,19.64,76.93,18.61,80.79,17.72
2025-10-31,贵州茅台,600519,2025年三季报点评：降速纾压 理性增长,买入,,民生证券,,72.34,20.0,76.02,19.0,80.14,18.0
2025-10-31,贵州茅台,600519,点评报告：三季度茅台酒稳健增长，系列酒承压,增持,,万联证券,,73.88,19.38,80.61,17.76,87.95,16.28
2025-10-31,贵州茅台,600519,2025年三季报点评：结构压力逐步释放，费效管控边际加强,买入,,东吴证券,,72.01,19.88,74.47,19.23,77.43,18.49
2025-10-30,贵州茅台,600519,2025Q3收入同比持平，经营理性务实、行稳致远,增持,,国信证券,,72.12,19.9,75.79,18.9,80.02,17.9
2025-10-30,贵州茅台,600519,2025年三季报点评：务实降速，蓄力前行,买入,,东莞证券,,72.41,19.78,76.74,18.66,81.94,17.47
2025-10-30,贵州茅台,600519,务实降速，坚韧前行,买入,,信达证券,,72.27,19.81,75.83,18.88,79.74,17.96
2025-10-30,贵州茅台,600519,理性降速，关注龙头底部价值,买入,,国金证券,,72.329,19.8,76.032,18.8,79.951,17.9
2025-10-28,000001,000001,2025年三季报点评：三季度息差阶段企稳，资产质量总体平稳,买入,,东兴证券,,2.22,5.21,2.24,5.17,2.32,4.98
2025-08-27,000001,000001,2025年半年报点评：盈利降幅收窄，零售资产质量改善,买入,,东兴证券,,2.22,5.61,2.24,5.56,2.32,5.37
2025-08-19,贵州茅台,600519,点评报告：茅台酒韧性强而系列酒承压，直销渠道增速亮眼,增持,,万联证券,,74.97,19.18,81.81,17.58,89.27,16.11
